,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
317,communiti,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,resourc,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,capit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,middl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,class,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,emerg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,region_risk_assess,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,esino_coastal_aquif,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,groundwat,13,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
326,mcda,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,model_chain,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,urban_abandon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,environment_chang,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,humanitarian_emerg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,humanitarian_crisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,lidar_data,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,demod,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,betic_cordillera,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,spain,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,slope_movement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,capac_build,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,high_mountain_area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,picus,7,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
340,forest_manag,7,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
341,popul_island,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,index_system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,defens_countermeasur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,databas,216,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
345,nation,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,twitter,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,threshold,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,domain,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,coastal_urban_area,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,critic_facil_vulner,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,dea,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,disast_manag,56,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,0
353,infrastructur_vulner,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,mumbai,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,pca,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,?_?_?_?_?_pca,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,area_urbana_costera,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,vulnerabilidad_de_las_instalacion_critica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,manejo_de_desastr,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,vulnerabilidad_de_la_infraestructura,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,bombay,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,vulnerabilidad_socioeconomica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,cultur_heritag,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,remot_sens_techniqu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,gis_analysi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,urban_geographi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,environment_justic,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,urban_heat_island,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,climat_justic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,exposur_model,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,disast_risk_assess,23,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
372,gross_domest_product_gdp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,build_inventori,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,gross_capit_stock_gcs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,infrastructur,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,urban,58,1,0,2,0,2,1,3,1,1,1,1,0,0,1,1,1
377,agricultur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,snow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,digit_elev_model_dem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,analyt_hierarch_process_ahp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,avalanch_hazard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,uri_sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,thailand,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,age_at_menarch,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,age_at_menopaus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,breastfeed,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,mortal,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,oral_contracept,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,pariti,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,radon_mass_exhal_rate,23,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
391,eman_coeffici,23,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
392,hazard_indic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,annual_effect_dose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,radiolog_risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,volcan_tuff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,gann,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,multivari_hazard_evalu_method,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,risk_index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,risk_distribut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,structur_vulner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,web_gi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,decis_make,27,5,0,0,5,5,5,5,5,0,0,0,0,0,5,5,5
404,particip_decis_support_platform,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,disast_risk_manag,16,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
406,"compromis_program_,_multi_criteria_method",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,gps_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,atmosphere_ionospher_coupl,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,neutral_wind_dynamo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,mountain_risk_and_disast_manag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,torrent_and_avalanch_cadast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,hazard_zone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,digit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,land_cover,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,land_use,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,volunt_geograph_inform,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,valid,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,riverbank_stabil,4,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
419,hazard_predict,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
420,map,11,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
421,topographi,7,2,0,0,1,1,2,2,2,1,1,1,1,0,2,2,2
422,river_murray,4,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
423,spatial_relationship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,radon,19,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
425,korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,index_of_entropi,2,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
427,arid_region,2,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
428,bernoulli_trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,dri_spell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,heterogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,probabl_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,wet_spell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,amazon,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
435,interdisciplinari_method,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
436,urban_plan,10,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1
437,urban_seismic_risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,seismic_vulner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,mitig_plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,mitig_polici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,risk_assess_matrix_.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,weight_linear_combin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,landslid_densiti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,climate_chang_adapt,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,exposur,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,integr_vulner_assess,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,geovisu,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,participatori_gis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,urban_geolog,256,8,0,21,4,25,8,29,8,8,4,4,4,0,8,8,8
450,land_us_plan,240,8,0,21,4,25,8,29,8,8,4,4,4,0,8,8,8
451,ksa,2,4,0,0,0,0,4,4,4,4,4,4,4,0,4,4,4
452,carbon_captur_and_storag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,carbon_dioxid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,fault,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,hydrogeolog,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,leakag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,monitor,52,2,0,0,2,2,2,2,2,0,0,0,0,0,2,2,2
458,leve_effect,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,exposur_to_flood,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,flood_hazard_and_risk_assess,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,po_river,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,hypsometr_vulner_curv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,spatio_tempor_pattern,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,drought_indic,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,north_xinjiang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,chang_detect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,urban_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,van_citi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,coronari_diseas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,epidemiolog,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,sex,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,women,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,hazard_assess,2,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
474,predict_curv,2,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
475,predict,11,1,0,18,0,18,1,19,1,1,1,1,1,0,1,1,1
476,statist_analysi,2,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
477,gis_model,17,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
478,standard_precipit_index_spi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,veget_condit_index_vci,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,associ_rule_mine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,meteorolog_disast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,ndvi,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,crop_stress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,andhra_pradesh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,network_vulner_analysi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,network_disrupt,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,devast_earthquak,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,disast_emerg_and_relief_oper,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,transport_network_redund,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,rainfal_aggress,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,concentr_index,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,irregular,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,basin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,electr_power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,risk_manag,83,1,0,1,1,1,1,2,1,1,1,0,0,0,1,1,1
496,bayesian_analysi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,forecast,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,electr_power_outag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,multiscal_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,spatial_smooth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,cluster,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,landslid_inventori_map,48,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0
503,pico_de_orizaba_volcano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,moho_depth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,p_n_veloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,p_g_veloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,disast_educ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,japan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,prepared,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,school_safeti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,land_use_chang,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,hydrometeorolog_hazard,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,spatial_simul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,stakehold,30,3,3,0,3,3,3,3,0,0,0,0,0,0,3,3,3
515,alp,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,flood_suscept,72,9,0,0,5,0,9,9,9,9,9,4,4,0,9,9,9
517,decis_tree_dt,56,7,0,0,5,0,7,7,7,7,7,2,2,0,7,7,7
518,malaysia,369,74,31,0,70,65,74,74,43,15,9,4,4,0,74,74,74
519,germani,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,crisi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,disast_plan,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,emerg_medicin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,cloud_comput,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,qualiti_of_servic_qos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,service_ori_architectur_soa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,big_data,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,spatiotempor_pattern,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,land_chang,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,sustain,76,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
530,hydrolog_hazard,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,community_bas_participatori_research,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,photovoic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,noaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,coastal_resili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,ocean_observ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,data_collect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,data_fusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,grid_popul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,hebei_provinc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,multi_factor_fusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,partial_correl_coeffici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,north_anatolian_fault,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,age_wood_pole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,arcmap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,asset_manag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,databas_manag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,failur_probabl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,pole_inspect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,temporal_spati_pattern,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,chronic_hepat_b,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,cirrhosi_complic,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,cirrhosi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,insulin,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,liver_rel_mortal,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,sulphonylurea,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,type_2_diabet_mellitus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,spatiotempor_semant_inform_retriev,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,natur_languag_process,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,hazard_ontolog,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,gazett,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,popul_project,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,popul_distribut,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,landscan,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,high_resolut_popul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,andes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,digit_elev_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,global_posit_system,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,highland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,peru,84,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
570,saratel_catchment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,hec_ra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,joseni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,exceed_probabl,10,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
574,forest_fire_map,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,shannon_entropi,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,minudasht_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,tornado,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,wind_damag,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,wind_speed,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,hazard_analysi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,underground_space_develop,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,geoenvironment_hazard,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,earth_system_scienc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,prevent_and_control_measur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,shanghai,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,terengganu_watersh,16,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
587,composit_indic,18,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
588,resili_measur,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,recoveri,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,develop_countri,24,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
591,ocean_hazard,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,environment_impact,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,coastal_zone_manag,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,risk_awar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,disast_prepared,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,food_secur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,hiv_and_aid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,namibia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,geopark,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,anthropogen_geomorpholog,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,geomorpholog_hazard,10,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
602,neotecton,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,apuan_alp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,predict_model,143,0,0,13,0,13,0,13,0,0,0,0,0,0,0,0,0
605,caribbean,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
606,pacif,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,urban_poor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,slum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,disast_risk_resili,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,urban_manag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,plan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,veget_degrad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,hazard_map,32,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
614,dpsir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,debris_laden_slope,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,torrenti_rainfal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,ism,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,cumulonimbus_convect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,orograph_forc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,anthropogen_intervent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,flood_prone_area,13,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
622,fuzzi_analyt_hierarchi_process_fahp,13,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
623,cluster_techniqu,13,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
624,limit_equilibrium_method,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
625,drawdown,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
626,river_level_fluctuat,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
627,evapor,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
628,rainfal,112,1,0,3,0,3,1,4,1,1,1,1,1,0,1,1,1
629,soil_suction,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
630,distribut_function,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,magnitud_distribut,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,general_truncat_exponenti_distribut,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,aic,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,coast,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,cyclon_aila,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,expos_asset,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
637,urban_produc_capit,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
638,popul,83,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
